name,osm_id,latitude,longitude,data_type,source,place_type,population,collection_time,collection_date,collector_class
Parakou,308813067,9.3400159,2.6278258,cities,OpenStreetMap,city,250000.0,19:33:15.887706,2025-09-30,GeographicCollector
Ouidah,313015821,6.3666147,2.0853599,cities,OpenStreetMap,city,160000.0,19:33:15.887706,2025-09-30,GeographicCollector
Abomey,313015845,7.1820012,1.993632,cities,OpenStreetMap,city,100000.0,19:33:15.887706,2025-09-30,GeographicCollector
Djougou,313015848,9.7106683,1.6651614,cities,OpenStreetMap,city,260000.0,19:33:15.887706,2025-09-30,GeographicCollector
Bembéréké,313015849,10.2242175,2.6675063,cities,OpenStreetMap,town,131300.0,19:33:15.887706,2025-09-30,GeographicCollector
Kalalé,313015851,10.2880733,3.3792735,cities,OpenStreetMap,town,25000.0,19:33:15.887706,2025-09-30,GeographicCollector
Nikki,313015871,9.9363383,3.2085658,cities,OpenStreetMap,city,150000.0,19:33:15.887706,2025-09-30,GeographicCollector
Boukombé,343622708,10.1832167,1.1000529,cities,OpenStreetMap,town,80000.0,19:33:15.887706,2025-09-30,GeographicCollector
Tanougou,408772064,10.8099544,1.4355041,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kpawa,414049498,9.1543898,2.0569447,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Wassa,414735877,9.6150215,1.6301476,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Faka Faka,414735907,9.5819358,1.6247561,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Goumbakou,414735920,9.555192,1.6313947,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kakindoni,414735955,9.50931,1.6304416,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Pélébina,414735969,9.4731597,1.6392279,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Gbessou,414735980,9.4551172,1.6334003,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Bougou,414735991,9.4376196,1.620465,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Nagayilé,414737877,9.3170817,1.563131,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Wari-Maro,425463532,9.1655911,2.1605948,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Aledjo-Koura,442127218,9.3456334,1.4426657,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Bassila,442134145,9.0075302,1.6642215,cities,OpenStreetMap,town,130000.0,19:33:15.887706,2025-09-30,GeographicCollector
Pira,442134154,8.4939619,1.7249944,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Prékété,442134341,8.6659123,1.6329755,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Pénélan,442136278,9.247273,1.5085982,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Banikoara,459525150,11.3004241,2.4370752,cities,OpenStreetMap,city,250000.0,19:33:15.887706,2025-09-30,GeographicCollector
Ségbana,496107708,10.9286988,3.6952064,cities,OpenStreetMap,town,90000.0,19:33:15.887706,2025-09-30,GeographicCollector
Péhunco,496108848,10.2308948,2.0004282,cities,OpenStreetMap,town,30000.0,19:33:15.887706,2025-09-30,GeographicCollector
Bétérou,496121386,9.2021611,2.2736894,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Kouandé,496133867,10.3321794,1.6919847,cities,OpenStreetMap,city,110000.0,19:33:15.887706,2025-09-30,GeographicCollector
Malanville,496140932,11.8618128,3.3862982,cities,OpenStreetMap,city,168000.0,19:33:15.887706,2025-09-30,GeographicCollector
Bohicon,496262977,7.1816331,2.0695683,cities,OpenStreetMap,city,170000.0,19:33:15.887706,2025-09-30,GeographicCollector
Aplahoué,496264781,6.9396098,1.6751946,cities,OpenStreetMap,city,170000.0,19:33:15.887706,2025-09-30,GeographicCollector
Dogbo-Tota,496265045,6.8014046,1.781282,cities,OpenStreetMap,city,100000.0,19:33:15.887706,2025-09-30,GeographicCollector
Owode,501384821,7.05,2.75,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Gbelito,746961312,7.0089407,1.7462404,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Yehouemey,746970105,6.9683705,1.7070865,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Ouaké,807261929,9.6642475,1.3859323,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Gadomé,895493762,6.4022076,1.9092695,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Agatogbo,895493787,6.4018183,1.9221955,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Kissamey,895569152,6.992851,1.729013,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Agame,895569167,6.725845,1.766372,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Adjahomey,895569259,7.0495503,1.8033153,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Hagoumey,895569355,6.8436002,1.7644405,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Lanta,895569479,7.1041964,1.8644084,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Avegamey,895569529,7.025497,1.7564553,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Doyissa,895780050,7.9882725,1.983347,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Banté,895780053,8.4114512,1.886978,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Pam-Pam,910855162,10.0920291,1.4737589,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Nalouhou 2,910855177,9.7593615,1.6028079,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Tigninti,910855184,10.164647,1.417395,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Katabam,910855199,9.9064251,1.5286505,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Sinaissir,910855204,10.0570756,1.4838776,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Birni,910855208,9.9912459,1.5274595,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Copargo,910855218,9.8395429,1.5467475,cities,OpenStreetMap,town,22000.0,19:33:15.887706,2025-09-30,GeographicCollector
Papatia,910855223,10.0383666,1.4893321,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Pabegou,910855237,9.7933051,1.5736599,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Berecingou,910855253,10.2296459,1.398203,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Nalouhou 1,910855268,9.746297,1.615559,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kankoulga,910855279,9.9498802,1.5320315,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Perma,910855299,10.1144986,1.4429194,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Koussoucoingou,915387427,10.1806654,1.2028261,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Frigniou,1086600250,9.1269477,1.5995931,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Lalo,1106919280,6.9300818,1.8902204,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Bodi,1128220145,9.3775838,1.566552,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dogué,1177320774,9.1014312,1.9370867,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kikélé,1177320796,9.0103048,1.7317617,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Biguina-Akpassa,1177320801,8.7768349,1.6477986,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Banigri,1177320853,9.4121435,1.7566818,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kprèkètè,1177320902,8.6704369,1.6501592,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kikélé-Logba,1177320906,9.0250829,1.7485502,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Biguina-Holoudè,1177320915,8.7657264,1.6487989,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Akaradè,1177321033,9.3460105,1.42355,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Biguina-Tosso,1177321093,8.749825,1.6467284,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kodowari,1177321104,9.189875,1.570746,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Aoro-Lokpa,1177321111,8.8327432,1.6511432,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Partago,1177321152,9.3260691,1.4740945,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Igbomakro,1177321267,9.0793605,1.9085156,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Nioro,1177321277,9.2849622,1.500535,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Barikini,1177321307,9.0194084,1.6613787,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kadégoué,1177321314,9.3182126,1.423035,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Igbèrè,1177321358,8.9918646,1.9605625,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Manigri,1177342283,8.9737216,1.7236256,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Diépani-Balimboli,1187128628,9.086494,1.634264,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Balimboli,1187128636,9.073071,1.640289,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Tchétou,1187128638,9.144395,1.590454,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Tchatchou,1303908409,9.1267264,2.55831,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Bayakou,1311838551,9.366571,1.750652,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
M'boroko,1311838554,9.1886092,1.7512209,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dengou,1311838558,9.3209746,1.7419209,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Saramanga,1311838559,9.221474,1.777135,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Taba,1313128072,9.2815148,1.6575947,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Founga,1344364476,9.6887048,1.5924728,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dangoussar,1344364514,9.6814809,1.5514897,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Anandana,1344364545,9.944461,1.394184,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kawado,1344364583,9.7716569,1.392461,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Barei,1344364598,9.6806029,1.5707986,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Midangbé,1511437253,6.7883066,1.8447397,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Sebiohoué-Adjintimey,1511459543,6.8345647,1.6738614,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Ahomey,1511459562,6.800915,1.7434051,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
,1511459818,6.8502606,1.6768971,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Lokogohoué,1511770080,6.7798703,1.841307,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Oubérou,1590733212,9.209542,2.2317482,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Bopa,1590933142,6.5893347,1.9668937,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Doutou,1590933146,6.5725054,1.8792723,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Abomey-Calavi,1660451359,6.4538637,2.354245,cities,OpenStreetMap,city,650000.0,19:33:15.887706,2025-09-30,GeographicCollector
Porto-Novo,1669842684,6.4990718,2.6253361,cities,OpenStreetMap,city,265500.0,19:33:15.887706,2025-09-30,GeographicCollector
Akpro-Missérété,1671041800,6.5584963,2.5893397,cities,OpenStreetMap,town,25000.0,19:33:15.887706,2025-09-30,GeographicCollector
Avrankou,1671044835,6.5564209,2.6550687,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Adjarra,1671046819,6.5282474,2.6629455,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Aguégués,1671048819,6.4533468,2.543644,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Fafadji,1681472004,6.8520719,1.8268116,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Cotonou,1776467369,6.3676953,2.4252507,cities,OpenStreetMap,city,780000.0,19:33:15.887706,2025-09-30,GeographicCollector
N'Dali,2071065504,9.8622949,2.7191259,cities,OpenStreetMap,city,110000.0,19:33:15.887706,2025-09-30,GeographicCollector
Natitingou,2071888096,10.3051511,1.3808554,cities,OpenStreetMap,city,110000.0,19:33:15.887706,2025-09-30,GeographicCollector
Savè,2071888099,8.0320548,2.4842293,cities,OpenStreetMap,town,90000.0,19:33:15.887706,2025-09-30,GeographicCollector
Pèrèrè,2091201506,9.7980143,2.9913586,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Tanguieta,2106812046,10.6300983,1.2706288,cities,OpenStreetMap,town,70000.0,19:33:15.887706,2025-09-30,GeographicCollector
Korontière,2106812052,10.2674072,0.9960146,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Hèdjamè,2152603558,6.7802742,1.8571072,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Montchohoué,2152603629,6.7775412,1.8459317,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
