indicator_code,indicator_name,country_code,country_name,year,value,source,collection_time,collection_date,collector_class
SP.POP.TOTL,"Population, total",BJ,Benin,2024,14462724.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2023,14111034.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2022,13759501.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2021,13413417.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2020,13070169.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2019,12726755.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2018,12383347.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2017,12039780.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2016,11697842.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2015,11360681.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2014,11030004.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2013,10708834.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2012,10397657.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2011,10093623.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2010,9797484.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2009,9509423.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2008,9228466.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2007,8953969.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2006,8693242.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2005,8426144.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2004,8159094.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2003,7913070.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2002,7675426.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2001,7445596.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,2000,7221619.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1999,7002818.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1998,6789489.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
SP.POP.TOTL,"Population, total",BJ,Benin,1997,6583365.0,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
