name,place_type,population,latitude,longitude,source,collection_date
Parakou,city,250000,9.3400159,2.6278258,OpenStreetMap,2025-09-22
Ouidah,city,160000,6.3666147,2.0853599,OpenStreetMap,2025-09-22
Abomey,city,100000,7.1820012,1.993632,OpenStreetMap,2025-09-22
Djougou,city,260000,9.7106683,1.6651614,OpenStreetMap,2025-09-22
Bembéréké,town,131300,10.2242175,2.6675063,OpenStreetMap,2025-09-22
Kalalé,town,25000,10.2880733,3.3792735,OpenStreetMap,2025-09-22
Nikki,city,150000,9.9363383,3.2085658,OpenStreetMap,2025-09-22
Boukombé,town,80000,10.1832167,1.1000529,OpenStreetMap,2025-09-22
Bassila,town,130000,9.0075302,1.6642215,OpenStreetMap,2025-09-22
Pira,town,,8.4939619,1.7249944,OpenStreetMap,2025-09-22
Prékété,town,,8.6659123,1.6329755,OpenStreetMap,2025-09-22
Banikoara,city,250000,11.3004241,2.4370752,OpenStreetMap,2025-09-22
Ségbana,town,90000,10.9286988,3.6952064,OpenStreetMap,2025-09-22
Péhunco,town,30000,10.2308948,2.0004282,OpenStreetMap,2025-09-22
Bétérou,town,,9.2021611,2.2736894,OpenStreetMap,2025-09-22
Kouandé,city,110000,10.3321794,1.6919847,OpenStreetMap,2025-09-22
Malanville,city,168000,11.8618128,3.3862982,OpenStreetMap,2025-09-22
Bohicon,city,170000,7.1816331,2.0695683,OpenStreetMap,2025-09-22
Aplahoué,city,170000,6.9396098,1.6751946,OpenStreetMap,2025-09-22
Dogbo-Tota,city,100000,6.8014046,1.781282,OpenStreetMap,2025-09-22
Ouaké,town,,9.6642475,1.3859323,OpenStreetMap,2025-09-22
Agatogbo,town,,6.4018183,1.9221955,OpenStreetMap,2025-09-22
Copargo,town,22000,9.8395429,1.5467475,OpenStreetMap,2025-09-22
Lalo,town,,6.9300818,1.8902204,OpenStreetMap,2025-09-22
Manigri,town,,8.9737216,1.7236256,OpenStreetMap,2025-09-22
Tchatchou,town,,9.1267264,2.55831,OpenStreetMap,2025-09-22
Bopa,town,,6.5893347,1.9668937,OpenStreetMap,2025-09-22
Doutou,town,,6.5725054,1.8792723,OpenStreetMap,2025-09-22
Abomey-Calavi,city,650000,6.4538637,2.354245,OpenStreetMap,2025-09-22
Porto-Novo,city,265500,6.4990718,2.6253361,OpenStreetMap,2025-09-22
Akpro-Missérété,town,25000,6.5584963,2.5893397,OpenStreetMap,2025-09-22
Avrankou,town,,6.5564209,2.6550687,OpenStreetMap,2025-09-22
Adjarra,town,,6.5282474,2.6629455,OpenStreetMap,2025-09-22
Aguégués,town,,6.4533468,2.543644,OpenStreetMap,2025-09-22
Cotonou,city,780000,6.3676953,2.4252507,OpenStreetMap,2025-09-22
N'Dali,city,110000,9.8622949,2.7191259,OpenStreetMap,2025-09-22
Natitingou,city,110000,10.3051511,1.3808554,OpenStreetMap,2025-09-22
Savè,town,90000,8.0320548,2.4842293,OpenStreetMap,2025-09-22
Pèrèrè,town,,9.7980143,2.9913586,OpenStreetMap,2025-09-22
Tanguieta,town,70000,10.6300983,1.2706288,OpenStreetMap,2025-09-22
Sanson,town,,9.277565,2.4291363,OpenStreetMap,2025-09-22
Comè,town,80000,6.4041973,1.8840863,OpenStreetMap,2025-09-22
Ouénou,town,,9.7866128,2.63695,OpenStreetMap,2025-09-22
Bori,town,15000,9.7475763,2.4386704,OpenStreetMap,2025-09-22
Guessou-Banm Taka,town,,10.0417025,2.6473675,OpenStreetMap,2025-09-22
Dassa-Zoumé,city,110000,7.7815402,2.183606,OpenStreetMap,2025-09-22
Cobli,town,21000,10.4892543,1.0081713,OpenStreetMap,2025-09-22
Savalou,city,140000,7.9297324,1.9780951,OpenStreetMap,2025-09-22
Biro,town,,9.9035389,2.9469131,OpenStreetMap,2025-09-22
Kandi,city,180000,11.1311029,2.9322321,OpenStreetMap,2025-09-22
Lokossa,city,110000,6.6458524,1.7171404,OpenStreetMap,2025-09-22
Sakété,city,110000,6.7377567,2.6551566,OpenStreetMap,2025-09-22
Gogounou,town,14000,10.8393454,2.8350479,OpenStreetMap,2025-09-22
Karimama,town,,12.0684051,3.1844069,OpenStreetMap,2025-09-22
Kérou,town,98000,10.8263035,2.1128252,OpenStreetMap,2025-09-22
Sinendé,town,30000,10.3444859,2.3822189,OpenStreetMap,2025-09-22
Materi,town,21000,10.6961681,1.0630914,OpenStreetMap,2025-09-22
Toucountouna,town,,10.4984345,1.3780009,OpenStreetMap,2025-09-22
Glazoué,town,,7.9732156,2.2406872,OpenStreetMap,2025-09-22
Ouèssè,city,,8.4919261,2.4258417,OpenStreetMap,2025-09-22
Adjohoun,town,,6.717471,2.4773959,OpenStreetMap,2025-09-22
Bonou,town,,6.9052139,2.4538661,OpenStreetMap,2025-09-22
Dangbo,town,,6.5850619,2.5508708,OpenStreetMap,2025-09-22
Ouinhi,town,,7.0913997,2.5104408,OpenStreetMap,2025-09-22
Zangnanado,town,,7.2225385,2.3870849,OpenStreetMap,2025-09-22
Zogbodomey,town,,7.0682962,2.1187793,OpenStreetMap,2025-09-22
Agbangnizoun,town,,7.075825,1.9705679,OpenStreetMap,2025-09-22
Covè,town,50000,7.2195352,2.3399622,OpenStreetMap,2025-09-22
Djidja,town,,7.3447833,1.9342593,OpenStreetMap,2025-09-22
Za-Kpota,town,,7.2309196,2.2170444,OpenStreetMap,2025-09-22
Sô-Ava,town,,6.4969731,2.4005373,OpenStreetMap,2025-09-22
Allada,city,130000,6.6658411,2.1511876,OpenStreetMap,2025-09-22
Athiémé,town,60000,6.5812935,1.6675163,OpenStreetMap,2025-09-22
Kpomassè,town,,6.4450306,2.0137014,OpenStreetMap,2025-09-22
Toffo,town,,6.8381029,2.1131289,OpenStreetMap,2025-09-22
Tori-Bossito,town,,6.502478,2.1441704,OpenStreetMap,2025-09-22
Djakotomey,town,,6.9020379,1.7178953,OpenStreetMap,2025-09-22
Sè,town,,6.516933,1.8229823,OpenStreetMap,2025-09-22
Klouékanmè,town,20000,6.9796836,1.8427041,OpenStreetMap,2025-09-22
Toviklin,town,,6.893515,1.8360905,OpenStreetMap,2025-09-22
Adja-Ouèrè,town,,7.0036929,2.6101941,OpenStreetMap,2025-09-22
Ifangni,town,23000,6.6805991,2.718289,OpenStreetMap,2025-09-22
Kétou,city,160000,7.3604193,2.6024222,OpenStreetMap,2025-09-22
Pobè,city,120000,6.9820238,2.666791,OpenStreetMap,2025-09-22
Sèmè-Kpodji,town,,6.3814684,2.6044573,OpenStreetMap,2025-09-22
Dérassi,town,,10.1615049,3.261694,OpenStreetMap,2025-09-22
Péonga,town,,10.3396832,3.2683138,OpenStreetMap,2025-09-22
Guéné,town,,11.7249824,3.2233525,OpenStreetMap,2025-09-22
