indicator_code,indicator_name,country_code,country_name,year,value,source,collection_date
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2024,21482643720.2743,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2023,19673290995.8491,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2022,17425405083.8797,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2021,17687623534.6665,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2020,15686741893.5187,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2019,14391686313.4641,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2018,14262408089.9261,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2017,12701655836.9467,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2016,11821065853.3838,WORLD BANK API,2025-09-22
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2015,11388160996.7738,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2024,,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2023,,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2022,,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2021,,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2020,,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2019,,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2018,97.21103,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2017,97.03352,WORLD BANK API,2025-09-22
SE.PRM.NENR,"School enrollment, primary (% net)",BJ,Benin,2016,,WORLD BANK API,2025-09-22
